epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6779049038887024,0.5380789041519165,0.0010000000474974513,0.8698421120643616,0.1330561339855194,0.35164836049079895,0.7653061151504517,0.6672828793525696,0.6490464806556702,0.2238806039094925,0.46875
1,0.6508127450942993,0.5818491578102112,0.0010000000474974513,0.7854713797569275,0.14964789152145386,0.4670329689979553,0.6326530575752258,0.7020515203475952,0.7164087891578674,0.17796610295772552,0.65625
2,0.6357616186141968,0.6006786823272705,0.0010000000474974513,0.7502883076667786,0.14333894848823547,0.4670329689979553,0.5986394286155701,0.7056297659873962,0.7340584397315979,0.16923077404499054,0.6875
3,0.6140878796577454,0.6447963714599609,0.0010000000474974513,0.7125429511070251,0.14961832761764526,0.5384615659713745,0.6292517185211182,0.7432013154029846,0.7202515006065369,0.19200000166893005,0.75
4,0.6303431391716003,0.6591176986694336,0.0010000000474974513,0.7033113241195679,0.16769230365753174,0.598901093006134,0.6632652878761292,0.7061068415641785,0.6921178102493286,0.17475728690624237,0.5625
5,0.6309452056884766,0.679650604724884,0.0010000000474974513,0.6822171807289124,0.17397882044315338,0.6318681240081787,0.6598639488220215,0.6811187863349915,0.6880663633346558,0.1599999964237213,0.5
6,0.6345574855804443,0.6752446293830872,0.0010000000474974513,0.6838610172271729,0.16535432636737823,0.5769230723381042,0.6768707633018494,0.6838620901107788,0.6780757904052734,0.1818181872367859,0.5625
7,0.6321492791175842,0.6936413645744324,0.0010000000474974513,0.6636369824409485,0.17841079831123352,0.6538461446762085,0.7074829936027527,0.6210639476776123,0.641261637210846,0.16249999403953552,0.40625
8,0.6514148116111755,0.7000051736831665,0.0010000000474974513,0.6684457659721375,0.19129082560539246,0.6758241653442383,0.6768707633018494,0.6325739622116089,0.6652368903160095,0.1538461595773697,0.4375
9,0.6423841118812561,0.7244091033935547,0.0010000000474974513,0.6428456902503967,0.18501529097557068,0.6648351550102234,0.6870748400688171,0.624343991279602,0.6643805503845215,0.15909090638160706,0.4375
10,0.6556291580200195,0.7507987022399902,0.0010000000474974513,0.622401773929596,0.20183485746383667,0.7252747416496277,0.7244898080825806,0.6077051758766174,0.6249945759773254,0.16438356041908264,0.375
11,0.660445511341095,0.7518407702445984,0.0010000000474974513,0.6233497262001038,0.20433436334133148,0.7252747416496277,0.7585033774375916,0.5844466090202332,0.5913682579994202,0.16949152946472168,0.3125
12,0.6773028373718262,0.8035798072814941,0.0005000000237487257,0.579633355140686,0.22600619494915009,0.8021978139877319,0.7448979616165161,0.5753220915794373,0.5912121534347534,0.16923077404499054,0.34375
13,0.6694762110710144,0.7659875154495239,0.0005000000237487257,0.6102941036224365,0.21193093061447144,0.7417582273483276,0.7448979616165161,0.565660834312439,0.5995465517044067,0.16923077404499054,0.34375
14,0.6857314705848694,0.7647114992141724,0.0005000000237487257,0.6111913323402405,0.21088434755802155,0.6813187003135681,0.7244898080825806,0.5522423982620239,0.6184457540512085,0.14492753148078918,0.3125
15,0.6700782775878906,0.7782452702522278,0.0005000000237487257,0.6004713177680969,0.21135646104812622,0.7362637519836426,0.7142857313156128,0.5612476468086243,0.6307572722434998,0.14864864945411682,0.34375
16,0.7007826566696167,0.8300102353096008,0.0005000000237487257,0.5510475635528564,0.24137930572032928,0.807692289352417,0.7006802558898926,0.5524213314056396,0.6315158605575562,0.1315789520740509,0.3125
17,0.6881396770477295,0.7860356569290161,0.0005000000237487257,0.5898314714431763,0.21812079846858978,0.7142857313156128,0.7074829936027527,0.5685830116271973,0.6334748268127441,0.14473684132099152,0.34375
18,0.6935580968856812,0.8125422596931458,0.0005000000237487257,0.5663471221923828,0.232405886054039,0.7802197933197021,0.7006802558898926,0.5572519302368164,0.6334618330001831,0.14102564752101898,0.34375
19,0.7092112898826599,0.814059853553772,0.0005000000237487257,0.5624427199363708,0.23916810750961304,0.7582417726516724,0.7142857313156128,0.549558699131012,0.6197656989097595,0.14864864945411682,0.34375
20,0.7206501960754395,0.8242390155792236,0.0002500000118743628,0.5555879473686218,0.2552083432674408,0.807692289352417,0.7006802558898926,0.5498568415641785,0.6240425109863281,0.1315789520740509,0.3125
21,0.7104154229164124,0.8442610502243042,0.0002500000118743628,0.5294923782348633,0.2495812326669693,0.8186812996864319,0.6972789168357849,0.5466364622116089,0.6303837299346924,0.12987013161182404,0.3125
22,0.715833842754364,0.8170912861824036,0.0002500000118743628,0.5576547980308533,0.24471831321716309,0.7637362480163574,0.704081654548645,0.551586389541626,0.6406941413879395,0.15189872682094574,0.375
23,0.7176399827003479,0.8157352805137634,0.0002500000118743628,0.559122622013092,0.2460176944732666,0.7637362480163574,0.7142857313156128,0.5496779680252075,0.638878345489502,0.14864864945411682,0.34375
